mes,numero-mes,year,fecha,total-por-genero,hombre,mujer,total-por-rango-de-edad,menor de 1,1 a 4,5 a 9,10 a 14,15 y mas
enero,1,2022,1-01-2022,6252,3422,2830,6252,1331,2741,1481,695,4
febrero,2,2022,2-01-2022,4235,2293,1942,4235,856,1874,1028,474,3
marzo,3,2022,3-01-2022,6172,3401,2771,6172,1231,2745,1515,677,4
abril,4,2022,4-01-2022,6372,3512,2860,6372,1339,2814,1493,720,6
mayo,5,2022,5-01-2022,7830,4157,3673,7830,1536,3447,1968,878,1
junio,6,2022,6-01-2022,8094,4345,3749,8094,1766,3509,1983,830,6
julio,7,2022,7-01-2022,7721,4130,3591,7721,1639,3452,1809,817,4
agosto,8,2022,8-01-2022,9276,5089,4187,9276,1883,3900,2340,1147,6
septiembre,9,2022,9-01-2022,8907,4808,4099,8907,1895,3913,2185,911,3
octubre,10,2022,10-01-2022,8887,4873,4014,8887,2027,3815,2145,897,3
noviembre,11,2022,11-01-2022,8139,4454,3685,8139,1887,3472,1926,852,2
diciembre,12,2022,12-01-2022,7279,3955,3324,7279,1547,3158,1816,757,1
enero,1,2023,1-01-2023,7058,3902,3156,7058,1628,3000,1677,749,4
febrero,2,2023,2-01-2023,5908,3208,2700,5908,1252,2527,1476,653,0
marzo,3,2023,3-01-2023,8173,4432,3741,8173,1560,3451,2276,883,3
abril,4,2023,4-01-2023,8500,4548,3952,8500,1544,3495,2502,956,3
mayo,5,2023,5-01-2023,10487,5585,4902,10487,1730,4214,3359,1181,3
junio,6,2023,6-01-2023,9331,4969,4362,9331,1718,3899,2724,987,3
julio,7,2023,7-01-2023,9291,4908,4383,9291,1921,3665,2598,1102,5
agosto,8,2023,8-01-2023,8398,4492,3906,8398,1879,3257,2274,982,6
septiembre,9,2023,9-01-2023,7335,3961,3373,7335,1834,2881,1847,770,3
octubre,10,2023,10-01-2023,6517,3463,3054,6517,1636,2480,1631,770,0
noviembre,11,2023,11-01-2023,4544,2465,2079,4544,1254,1767,939,579,5
diciembre,12,2023,12-01-2023,5665,3101,2564,5665,1466,2177,1320,700,2
enero,1,2024,1-01-2024,5715,3080,2635,5715,1353,2272,1369,720,1
febrero,2,2024,2-01-2024,5025,2680,2345,5025,1126,1995,1194,708,2
marzo,3,2024,3-01-2024,6067,3302,2765,6067,1317,2410,1621,718,1
abril,4,2024,4-01-2024,6653,3579,3074,6653,1352,2504,1807,988,2
mayo,5,2024,5-01-2024,8767,4691,4076,8767,1632,3393,2489,1247,6
junio,6,2024,6-01-2024,7164,3778,3386,7164,1604,2812,1842,900,6
julio,7,2024,7-01-2024,8020,4380,3640,8020,1909,3090,2076,945,0
agosto,8,2024,8-01-2024,7560,4056,3504,7560,1895,2694,1925,1044,2
septiembre,9,2024,9-01-2024,5952,3200,2752,5952,1370,2200,1542,836,4
octubre,10,2024,10-01-2024,6056,3256,2800,6056,1214,2143,1726,969,4
noviembre,11,2024,11-01-2024,5699,3101,2598,5699,1220,2100,1525,852,2
diciembre,12,2024,12-01-2024,6217,3357,2860,6217,1380,2579,1452,803,3